level,id,parent,children,name,include,pnzRegional,path
district,zzzzzzzzzzzzzzzzzzzp,zzzzzzzzzzzzzzzzzzzw,,Waitaki,true,environment-canterbury-south-canterbury-otuhituhi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzp
district,zzzzzzzzzzzzzzzzzzzq,zzzzzzzzzzzzzzzzzzzw,,Waimate,true,environment-canterbury-south-canterbury-otuhituhi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzq
ward,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzr,,Rangiora-Ashley Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzr/wards/zzzzzzzzzzzzzzzzzzzx
ward,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzr,,Kaiapoi-Woodend Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzr/wards/zzzzzzzzzzzzzzzzzzzy
district,zzzzzzzzzzzzzzzzzzzr,zzzzzzzzzzzzzzzzzzzw,|,Waimakariri,true,environment-canterbury-north-canterbury-opukepuke-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzr
district,zzzzzzzzzzzzzzzzzzzs,zzzzzzzzzzzzzzzzzzzw,,Timaru,true,environment-canterbury-south-canterbury-otuhituhi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzs
ward,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzt,,Rolleston Ward,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzt/wards/zzzzzzzzzzzzzzzzzzzy
district,zzzzzzzzzzzzzzzzzzzt,zzzzzzzzzzzzzzzzzzzw,,Selwyn,true,environment-canterbury-mid-canterbury-opakihi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzt
district,zzzzzzzzzzzzzzzzzzzu,zzzzzzzzzzzzzzzzzzzw,,Mackenzie,true,environment-canterbury-south-canterbury-otuhituhi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzu
district,zzzzzzzzzzzzzzzzzzzv,zzzzzzzzzzzzzzzzzzzw,,Kaikoura,true,environment-canterbury-north-canterbury-opukepuke-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzv
