uuid,level,id,name,parent,children,include,pnzRegional,path,how,wardMap,pnz,pnzMayor,enrolBy,starting,ending,contact
294dfd71-2084-43aa-9ecd-e5d557de772f,district,zzzzzzzzzzzzzzzzzzzp,Waitaki,361dcb51-b9d3-49db-b6c5-467c4559f088,,true,environment-canterbury-south-canterbury-otuhituhi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzp,,,,,,,,
b75e8b1b-ab35-4fae-8fc2-bdf13fb9c65d,district,zzzzzzzzzzzzzzzzzzzq,Waimate,361dcb51-b9d3-49db-b6c5-467c4559f088,,true,environment-canterbury-south-canterbury-otuhituhi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzq,,,,,,,,
ebb9f057-7f84-4213-afbe-4e6e86a58241,ward,zzzzzzzzzzzzzzzzzzzx,Rangiora-Ashley Ward,d8050d7f-896e-43d6-a74c-b69996f437f1,,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzr/wards/zzzzzzzzzzzzzzzzzzzx,,,,,,,,
9864dded-dc55-4207-9288-1efe19bce23a,ward,zzzzzzzzzzzzzzzzzzzy,Kaiapoi-Woodend Ward,d8050d7f-896e-43d6-a74c-b69996f437f1,,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzr/wards/zzzzzzzzzzzzzzzzzzzy,,,,,,,,
d8050d7f-896e-43d6-a74c-b69996f437f1,district,zzzzzzzzzzzzzzzzzzzr,Waimakariri,361dcb51-b9d3-49db-b6c5-467c4559f088,260bdb25-f785-4e42-adbe-d93a4ae24da2|9bc53012-3665-4c94-bd78-0f04b3f2c136,true,environment-canterbury-north-canterbury-opukepuke-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzr,FPP,https://waimakariri.maps.arcgis.com/apps/webappviewer/index.html?id=5dad72ee172042e38a7cf3d5c10463a7,,,,,,
b097745f-761e-4c50-ab9c-59bf215281f4,district,zzzzzzzzzzzzzzzzzzzs,Timaru,361dcb51-b9d3-49db-b6c5-467c4559f088,,true,environment-canterbury-south-canterbury-otuhituhi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzs,,,,,,,,
779e8c27-00c4-429e-bc6d-2bc6d3e6acda,ward,zzzzzzzzzzzzzzzzzzzy,Rolleston Ward,f3543032-f2e6-4ea9-9d37-8c354724362a,,true,,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzt/wards/zzzzzzzzzzzzzzzzzzzy,,,selwyn-district-council-rolleston-ward,,,,,
f3543032-f2e6-4ea9-9d37-8c354724362a,district,zzzzzzzzzzzzzzzzzzzt,Selwyn,361dcb51-b9d3-49db-b6c5-467c4559f088,4214116d-2930-4728-8827-c1dcfdb94a30,true,environment-canterbury-mid-canterbury-opakihi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzt,FPP,https://www.selwyn.govt.nz/your-council/elections/selwyn-wards-maps-and-boundaries,,,,,,
8b2b1b9f-3687-4640-9622-7bf0a737218e,district,zzzzzzzzzzzzzzzzzzzu,Mackenzie,361dcb51-b9d3-49db-b6c5-467c4559f088,,true,environment-canterbury-south-canterbury-otuhituhi-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzu,,,,,,,,
2cf301af-0f15-4d1e-ab1c-584833fc8877,district,zzzzzzzzzzzzzzzzzzzv,Kaikoura,361dcb51-b9d3-49db-b6c5-467c4559f088,,true,environment-canterbury-north-canterbury-opukepuke-constituency,regions/zzzzzzzzzzzzzzzzzzzw/districts/zzzzzzzzzzzzzzzzzzzv,,,,,,,,
